"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02857V03435","Type of Procedure","C02076V02508","Age Group","UNIT","VALUE"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0401","Myringotomy","600","75 - 84 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0401","Myringotomy","630","85 years and over","Number","0"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0401","Myringotomy","-","All ages","Number","496"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0402","Cochlear implantation","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0402","Cochlear implantation","310","15 - 24 years","Number","23"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0402","Cochlear implantation","415","25 - 34 years","Number","22"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0402","Cochlear implantation","465","35 - 44 years","Number","35"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0402","Cochlear implantation","500","45 - 54 years","Number","54"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0402","Cochlear implantation","535","55 - 64 years","Number","50"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0402","Cochlear implantation","570","65 - 74 years","Number","39"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0402","Cochlear implantation","600","75 - 84 years","Number","40"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0402","Cochlear implantation","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0402","Cochlear implantation","-","All ages","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0500","Procedures on nose, mouth & pharynx","215","0 - 14 years","Number","3262"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0500","Procedures on nose, mouth & pharynx","310","15 - 24 years","Number","1942"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0500","Procedures on nose, mouth & pharynx","415","25 - 34 years","Number","1044"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0500","Procedures on nose, mouth & pharynx","465","35 - 44 years","Number","1240"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0500","Procedures on nose, mouth & pharynx","500","45 - 54 years","Number","1709"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0500","Procedures on nose, mouth & pharynx","535","55 - 64 years","Number","1984"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0500","Procedures on nose, mouth & pharynx","570","65 - 74 years","Number","2575"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0500","Procedures on nose, mouth & pharynx","600","75 - 84 years","Number","1981"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0500","Procedures on nose, mouth & pharynx","630","85 years and over","Number","743"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0500","Procedures on nose, mouth & pharynx","-","All ages","Number","16480"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0501","Tonsillectomy","215","0 - 14 years","Number","2304"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0501","Tonsillectomy","310","15 - 24 years","Number","850"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0501","Tonsillectomy","415","25 - 34 years","Number","199"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0501","Tonsillectomy","465","35 - 44 years","Number","117"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0501","Tonsillectomy","500","45 - 54 years","Number","46"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0501","Tonsillectomy","535","55 - 64 years","Number","46"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0501","Tonsillectomy","570","65 - 74 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0501","Tonsillectomy","600","75 - 84 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0501","Tonsillectomy","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0501","Tonsillectomy","-","All ages","Number","3770"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0600","Dental services","215","0 - 14 years","Number","370"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0600","Dental services","310","15 - 24 years","Number","127"
